,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"319","24.487","38.065","50.046","53.488","40.681","46.960","54.761","52.596"
"320","24.495","38.091","50.082","53.513","40.696","46.986","54.780","52.615"
"321","24.499","38.110","50.094","53.529","40.715","46.998","54.809","52.641"
"322","24.522","38.147","50.138","53.569","40.763","47.028","54.854","52.682"
"323","24.545","38.177","50.164","53.595","40.778","47.065","54.880","52.704"
"324","24.560","38.189","50.179","53.618","40.801","47.084","54.898","52.730"
"325","24.554","38.215","50.194","53.633","40.819","47.099","54.910","52.749"
"326","24.580","38.241","50.227","53.666","40.845","47.121","54.939","52.778"
"327","24.617","38.260","50.257","53.688","40.871","47.151","54.962","52.800"
"328","24.640","38.282","50.275","53.699","40.890","47.166","54.977","52.812"
"329","24.644","38.301","50.283","53.722","40.902","47.174","54.999","52.827"
"330","24.656","38.313","50.302","53.737","40.920","47.193","55.021","52.849"
"331","24.683","38.354","50.343","53.778","40.954","47.241","55.058","52.890"
"332","24.702","38.376","50.372","53.804","40.984","47.263","55.088","52.923"
"333","24.725","38.399","50.395","53.829","41.003","47.275","55.103","52.945"
"334","24.744","38.425","50.417","53.852","41.025","47.308","55.125","52.968"
"335","24.756","38.444","50.439","53.878","41.051","47.330","55.140","52.990"
"336","24.756","38.459","50.454","53.889","41.062","47.349","55.166","52.998"
"337","24.779","38.485","50.473","53.915","41.085","47.361","55.189","53.024"
"338","24.776","38.504","50.495","53.926","41.096","47.383","55.211","53.039"
"339","24.780","38.530","50.517","53.952","41.122","47.402","55.233","53.072"
"340","24.822","38.572","50.569","54.000","41.174","47.450","55.281","53.113"
"341","24.845","38.601","50.595","54.023","41.197","47.473","55.300","53.135"
"342","24.856","38.620","50.614","54.041","41.219","47.499","55.322","53.161"
"343","24.879","38.646","50.632","54.071","41.241","47.510","55.341","53.176"
"344","24.894","38.658","50.647","54.082","41.260","47.532","55.359","53.202"
"345","24.888","38.684","50.666","54.104","41.275","47.558","55.378","53.213"
"346","24.914","38.703","50.695","54.130","41.298","47.574","55.400","53.239"
"347","24.907","38.721","50.718","54.149","41.320","47.607","55.430","53.265"
"348","24.934","38.759","50.736","54.175","41.335","47.618","55.452","53.291"
"349","24.983","38.789","50.781","54.209","41.380","47.667","55.493","53.332"
"350","25.009","38.811","50.796","54.227","41.395","47.675","55.504","53.343"
"351","25.032","38.830","50.822","54.253","41.414","47.697","55.527","53.365"
"352","25.036","38.842","50.837","54.268","41.436","47.723","55.552","53.384"
"353","25.048","38.864","50.863","54.287","41.448","47.738","55.568","53.406"
"354","25.071","38.891","50.881","54.313","41.470","47.768","55.594","53.436"
"355","25.101","38.913","50.900","54.342","41.507","47.783","55.616","53.454"
"356","25.123","38.939","50.930","54.357","41.519","47.802","55.627","53.481"
"357","25.146","38.951","50.952","54.376","41.534","47.824","55.653","53.495"
"358","25.180","38.996","50.982","54.413","41.575","47.861","55.694","53.533"
"359","25.192","39.022","51.004","54.439","41.597","47.880","55.720","53.552"
"360","25.174","39.041","51.023","54.458","41.619","47.903","55.742","53.574"
"361","25.201","39.059","51.049","54.484","41.642","47.921","55.757","53.600"
"362","25.216","39.075","51.067","54.506","41.657","47.940","55.772","53.607"
"363","25.239","39.097","51.086","54.517","41.676","47.955","55.787","53.633"
"364","25.247","39.112","51.105","54.536","41.694","47.981","55.810","53.648"
"365","25.280","39.138","51.127","54.565","41.720","47.996","55.835","53.678"
"366","25.314","39.164","51.149","54.591","41.739","48.022","55.861","53.689"
"367","25.352","39.209","51.190","54.621","41.777","48.071","55.899","53.734"
